Date,Ethereum,Layer 1,Public Chain,PoS,PoW,Bitcoin,Cross-Chain,Mining,Binance,Exchange Token,BNB Chain,DeFi,Stablecoins,Decentralized Stablecoins,DEX,Governance,Oracle,Web3,Avalanche,AMM,Cosmos,Sharding,Cloud Computing,Polkadot,Scaling,Polygon,Layer 2,Staking,Liquid Staking Derivatives (LSD),Payment,Infrastructure,Arbitrum,IoT,Privacy,OKX,Lending,DAO,Wallet,Storage,Data,Game,NFT,Marketplace,Metaverse,Tether,Fork,Zero Knowledge Proofs,Traditional Industry,Solana,Derivatives,Base,Optimism,Rollups,Synthetics,Tron,Immutable X,Launchpad,Curve,Cardano,AI,EOS,Social,Sports
2014-09-17,,,-1.831006158227294,,-1.1842853010091785,-1.1842853010091785,-1.831006158227294,-1.831006158227294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5375644437910632,,,,,,,,,,,,,,,,,
2014-09-18,,,,,-7.505786748855805,-7.505786748855805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.505786748855805,,,,,,,,,,,,,,,,,
2014-09-19,,,,,-7.6701024215764875,-7.6701024215764875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.6701024215764875,,,,,,,,,,,,,,,,,
2014-09-20,,,3.6057666471166714,,1.3090288309330547,1.3090288309330547,3.6057666471166714,3.6057666471166714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.987708985250562,,,,,,,,,,,,,,,,,
2014-09-21,,,-2.2701097185048096,,-1.336200099694958,-1.336200099694958,-2.2701097185048096,-2.2701097185048096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40229048088510616,,,,,,,,,,,,,,,,,
2014-09-22,,,0.7647210990854744,,0.34020143222932187,0.34020143222932187,0.7647210990854744,0.7647210990854744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08431823462683061,,,,,,,,,,,,,,,,,
2014-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24,,,-2.8791718903605226,,-2.2554265226515207,-2.2554265226515207,-2.8791718903605226,-2.8791718903605226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.631681154942519,,,,,,,,,,,,,,,,,
2014-09-25,,,-2.7370521916380066,,-2.98912423216155,-2.98912423216155,-2.7370521916380066,-2.7370521916380066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2411962726850936,,,,,,,,,,,,,,,,,
2014-09-26,,,-1.7023588633633366,,-1.697536207193301,-1.697536207193301,-1.7023588633633366,-1.7023588633633366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6927135510232652,,,,,,,,,,,,,,,,,
2014-09-27,,,-1.000111693204705,,-0.6420137178633436,-0.6420137178633436,-1.000111693204705,-1.000111693204705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28391574252198215,,,,,,,,,,,,,,,,,
2014-09-28,,,-5.579881413606539,,-4.9527256576298635,-4.9527256576298635,-5.579881413606539,-5.579881413606539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.325569901653188,,,,,,,,,,,,,,,,,
2014-09-29,,,-0.3876067843574746,,-0.08572361591344925,-0.08572361591344925,-0.3876067843574746,-0.3876067843574746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2161595525305761,,,,,,,,,,,,,,,,,
2014-09-30,,,2.886555056893849,,4.060045544645206,4.060045544645206,2.886555056893849,2.886555056893849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.233536032396564,,,,,,,,,,,,,,,,,
2014-10-01,,,-0.9839303144934687,,-0.9661402648026916,-0.9661402648026916,-0.9839303144934687,-0.9839303144934687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9483502151119143,,,,,,,,,,,,,,,,,
2014-10-02,,,-2.3219515901386676,,-2.374140833907105,-2.374140833907105,-2.3219515901386676,-2.3219515901386676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4263300776755417,,,,,,,,,,,,,,,,,
